ID,COUNTY,GEOID,HH_TOTAL,HH_TOTAL PCT,HH_WHITE,HH_WHITE PCT,HH_BLACK,HH_BLACK PCT,HH_HISPANIC,HH_HISPANIC PCT,HH_NATIVE,HH_NATIVE PCT,HH_ASIAN,HH_ASIAN PCT,HH_PACIFIC,HH_PACIFIC PCT,HH_OTHER,HH_OTHER PCT,HH_TWOPLUS,HH_TWOPLUS PCT
1,Adams,39001,36320,100,37193,102,0,0,0,0,16863,46,0,0,0,0,0,0,8824,24
2,Allen,39003,47905,100,51753,108,24994,52,38339,80,40179,84,88417,185,0,0,41908,87,43750,91
3,Ashland,39005,50893,100,50930,100,58654,115,62375,123,0,0,0,0,0,0,0,0,0,0
4,Ashtabula,39007,43017,100,44186,103,27946,65,40921,95,13393,31,0,0,0,0,15694,36,19488,45
5,Athens,39009,37191,100,38611,104,26316,71,46500,125,27426,74,20444,55,0,0,41157,111,19392,52
6,Auglaize,39011,59516,100,60216,101,0,0,0,0,0,0,29028,49,0,0,0,0,0,0
7,Belmont,39013,46484,100,47003,101,36550,79,26350,57,42361,91,0,0,0,0,37578,81,19537,42
8,Brown,39015,49188,100,49146,100,0,0,82857,168,0,0,9792,20,0,0,61688,125,59250,120
9,Butler,39017,62188,100,64114,103,45045,72,45903,74,0,0,72596,117,0,0,34668,56,49750,80
10,Carroll,39019,51748,100,52447,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Champaign,39021,54495,100,54521,100,41806,77,17560,32,22708,42,106650,196,0,0,0,0,53472,98
12,Clark,39023,46275,100,49187,106,30871,67,33576,73,28333,61,72721,157,0,0,33590,73,27889,60
13,Clermont,39025,64183,100,64541,101,51641,80,54444,85,0,0,74223,116,0,0,0,0,58036,90
14,Clinton,39027,49997,100,50351,101,32969,66,0,0,0,0,0,0,0,0,0,0,65764,132
15,Columbiana,39029,45498,100,45803,101,22583,50,42333,93,24125,53,74750,164,0,0,41083,90,70938,156
16,Coshocton,39031,43251,100,43398,100,0,0,73015,169,0,0,48500,112,0,0,0,0,38750,90
17,Crawford,39033,41726,100,41947,101,33250,80,33409,80,0,0,0,0,0,0,0,0,20313,49
18,Cuyahoga,39035,46720,100,57787,124,28360,61,35980,77,41667,89,65918,141,33500,72,31501,67,36773,79
19,Darke,39037,50064,100,50335,101,31061,62,34477,69,0,0,53650,107,0,0,35761,71,48889,98
20,Defiance,39039,55295,100,55971,101,29103,53,49561,90,0,0,0,0,0,0,62045,112,36801,67
21,Delaware,39041,100229,100,99398,99,85208,85,63947,64,0,0,131236,131,142500,142,120568,120,72708,73
22,Erie,39043,51033,100,54383,107,28848,57,40313,79,33459,66,0,0,0,0,31184,61,47596,93
23,Fairfield,39045,63424,100,63673,100,71971,113,48966,77,0,0,73352,116,0,0,45851,72,27833,44
24,Fayette,39047,44289,100,44635,101,57526,130,32461,73,0,0,0,0,0,0,0,0,31759,72
25,Franklin,39049,56319,100,64289,114,35484,63,41144,73,47639,85,65471,116,24563,44,38246,68,43869,78
26,Fulton,39051,57774,100,58478,101,0,0,45795,79,51833,90,71964,125,0,0,42250,73,32846,57
27,Gallia,39053,42002,100,42590,101,0,0,0,0,50833,121,36136,86,0,0,0,0,0,0
28,Geauga,39055,77104,100,77519,101,57019,74,60260,78,0,0,120200,156,0,0,0,0,0,0
29,Greene,39057,65032,100,67060,103,40852,63,66107,102,0,0,84702,130,0,0,0,0,42375,65
30,Guernsey,39059,42744,100,44056,103,12471,29,0,0,35144,82,0,0,0,0,0,0,22000,51
31,Hamilton,39061,52389,100,64270,123,28697,55,52119,99,31964,61,66217,126,0,0,41369,79,39786,76
32,Hancock,39063,52831,100,53389,101,63194,120,35620,67,0,0,57813,109,0,0,35320,67,37150,70
33,Hardin,39065,46404,100,45925,99,53417,115,41875,90,0,0,63784,137,0,0,0,0,49757,107
34,Harrison,39067,46223,100,46366,100,36250,78,111023,240,73942,160,0,0,0,0,0,0,0,0
35,Henry,39069,58070,100,59081,102,31397,54,45972,79,0,0,0,0,0,0,0,0,51397,89
36,Highland,39071,42333,100,42701,101,22829,54,0,0,23403,55,0,0,0,0,0,0,0,0
37,Hocking,39073,48073,100,47903,100,0,0,0,0,0,0,0,0,0,0,0,0,59764,124
38,Holmes,39075,58728,100,58939,100,0,0,28264,48,0,0,0,0,0,0,0,0,36053,61
39,Huron,39077,49710,100,49664,100,30795,62,40568,82,54375,109,0,0,0,0,60667,122,57500,116
40,Jackson,39079,43397,100,44165,102,0,0,0,0,0,0,0,0,0,0,0,0,32896,76
41,Jefferson,39081,43161,100,44849,104,20954,49,20238,47,0,0,37093,86,0,0,0,0,43824,102
42,Knox,39083,51211,100,51203,100,51369,100,46184,90,0,0,0,0,0,0,0,0,85378,167
43,Lake,39085,61137,100,62080,102,37162,61,51134,84,80069,131,87500,143,0,0,49753,81,50652,83
44,Lawrence,39087,45466,100,46310,102,31910,70,65771,145,0,0,0,0,0,0,0,0,25545,56
45,Licking,39089,59747,100,59498,100,76545,128,41972,70,46037,77,64671,108,0,0,130433,218,40083,67
46,Logan,39091,53051,100,53595,101,33398,63,0,0,0,0,45556,86,0,0,0,0,46000,87
47,Lorain,39093,54987,100,58012,106,29833,54,35932,65,27065,49,87656,159,0,0,40924,74,40413,73
48,Lucas,39095,44820,100,52193,116,24650,55,36672,82,26603,59,50568,113,0,0,36619,82,30258,68
49,Madison,39097,62897,100,62923,100,35938,57,0,0,25357,40,103897,165,0,0,0,0,64256,102
50,Mahoning,39099,43251,100,47242,109,24361,56,30934,72,33088,77,62473,144,0,0,29107,67,29713,69
51,Marion,39101,44708,100,45656,102,27112,61,33862,76,0,0,0,0,0,0,21548,48,28056,63
52,Medina,39103,71595,100,72007,101,53036,74,68750,96,59063,82,88500,124,0,0,39821,56,49973,70
53,Meigs,39105,42105,100,42027,100,47989,114,0,0,0,0,0,0,0,0,0,0,0,0
54,Mercer,39107,57052,100,57591,101,0,0,59241,104,0,0,16992,30,0,0,41167,72,30536,54
55,Miami,39109,54568,100,54815,100,39063,72,33015,61,70750,130,80139,147,0,0,74844,137,35000,64
56,Monroe,39111,43299,100,43329,100,0,0,18958,44,0,0,0,0,0,0,0,0,0,0
57,Montgomery,39113,47045,100,53303,113,30032,64,37516,80,26731,57,73163,156,0,0,42772,91,35297,75
58,Morgan,39115,40276,100,40564,101,39375,98,0,0,0,0,100417,249,0,0,0,0,32829,82
59,Morrow,39117,52767,100,53422,101,0,0,91117,173,0,0,0,0,0,0,0,0,51042,97
60,Muskingum,39119,43325,100,44497,103,40239,93,0,0,0,0,17083,39,0,0,0,0,21750,50
61,Noble,39121,42171,100,42193,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Ottawa,39123,56193,100,56344,100,0,0,50114,89,0,0,0,0,0,0,34079,61,0,0
63,Paulding,39125,49866,100,50083,100,39583,79,50833,102,0,0,0,0,0,0,48542,97,75750,152
64,Perry,39127,46477,100,47193,102,0,0,93347,201,0,0,0,0,0,0,0,0,11847,25
65,Pickaway,39129,60314,100,60458,100,60139,100,41518,69,174861,290,0,0,0,0,41763,69,50893,84
66,Pike,39131,43562,100,43862,101,83009,191,0,0,38214,88,0,0,0,0,0,0,40398,93
67,Portage,39133,53816,100,55170,103,35622,66,41793,78,40121,75,30365,56,0,0,53769,100,35026,65
68,Preble,39135,52661,100,52426,100,57833,110,64000,122,0,0,105380,200,0,0,0,0,70772,134
69,Putnam,39137,61161,100,62174,102,0,0,42500,69,0,0,0,0,0,0,43054,70,50739,83
70,Richland,39139,44138,100,45623,103,29913,68,26458,60,21042,48,96120,218,0,0,0,0,32946,75
71,Ross,39141,45792,100,46248,101,46486,102,59135,129,0,0,0,0,0,0,0,0,31291,68
72,Sandusky,39143,50370,100,51373,102,26438,52,45703,91,21484,43,0,0,0,0,39647,79,60909,121
73,Scioto,39145,38978,100,39405,101,26500,68,81083,208,22308,57,75521,194,0,0,0,0,0,0
74,Seneca,39147,49153,100,50491,103,19125,39,36952,75,0,0,13618,28,0,0,27941,57,45341,92
75,Shelby,39149,57673,100,58261,101,31211,54,38203,66,48508,84,50486,88,0,0,0,0,64500,112
76,Stark,39151,50117,100,52579,105,28028,56,50246,100,40486,81,82000,164,0,0,44700,89,31662,63
77,Summit,39153,53291,100,58235,109,29759,56,51058,96,35365,66,61705,116,45568,86,43188,81,36056,68
78,Trumbull,39155,45380,100,47270,104,26072,57,33611,74,0,0,48784,108,0,0,73021,161,40426,89
79,Tuscarawas,39157,49460,100,50004,101,21294,43,44250,89,42609,86,0,0,0,0,0,0,0,0
80,Union,39159,78848,100,78551,100,0,0,141333,179,52464,67,122820,156,0,0,18454,23,0,0
81,Van Wert,39161,50974,100,51232,101,42935,84,44896,88,0,0,0,0,0,0,0,0,38824,76
82,Vinton,39163,41541,100,42064,101,0,0,0,0,0,0,0,0,0,0,0,0,24808,60
83,Warren,39165,79397,100,78707,99,69426,87,70940,89,12083,15,129840,164,0,0,36136,46,58906,74
84,Washington,39167,46021,100,46701,101,33611,73,0,0,40656,88,78777,171,0,0,0,0,24583,53
85,Wayne,39169,54037,100,53993,100,38500,71,39559,73,0,0,91220,169,0,0,0,0,49375,91
86,Williams,39171,47593,100,47575,100,0,0,51346,108,58438,123,96250,202,0,0,51250,108,23214,49
87,Wood,39173,58033,100,58322,100,37976,65,46389,80,20809,36,88459,152,0,0,62000,107,45365,78
88,Wyandot,39175,49767,100,49910,100,0,0,37264,75,0,0,40625,82,0,0,53320,107,0,0
0,Ohio,39000,51742,100,52949,102,29586,57,38930,75,19589,38,41082,79,2797,5,23068,45,34627,67