ID,GEOID,COUNTY,HH_TOTAL,HH_WHITE,HH_BLACK,HH_INDIAN,HH_ASIAN,HH_HAWAIIAN,HH_OTHER,HH_TWOPLUS,HH_HISPANIC,AGE15TO24,AGE25TO44,AGE45TO64,AGE65PLUS
1,39001,Adams,36320,37193,0,16863,0,0,0,8824,0,18920,44271,37628,29808
2,39003,Allen,47905,51753,24994,40179,88417,0,41908,43750,38339,22329,53272,58757,36159
3,39005,Ashland,50893,50930,58654,0,0,0,0,0,62375,27656,53511,62150,38093
4,39007,Ashtabula,43017,44186,27946,13393,0,0,15694,19488,40921,19986,47255,51885,33128
5,39009,Athens,37191,38611,26316,27426,20444,0,41157,19392,46500,15128,43654,50407,36034
6,39011,Auglaize,59516,60216,0,0,29028,0,0,0,0,36644,70787,73129,36888
7,39013,Belmont,46484,47003,36550,42361,0,0,37578,19537,26350,21204,61535,54703,31619
8,39015,Brown,49188,49146,0,0,9792,0,61688,59250,82857,31250,58457,54835,35503
9,39017,Butler,62188,64114,45045,0,72596,0,34668,49750,45903,27440,67248,78418,43983
10,39019,Carroll,51748,52447,0,0,0,0,0,0,0,28818,62260,64953,38703
11,39021,Champaign,54495,54521,41806,22708,106650,0,0,53472,17560,25524,62984,64475,39306
12,39023,Clark,46275,49187,30871,28333,72721,0,33590,27889,33576,23996,47794,56782,39233
13,39025,Clermont,64183,64541,51641,0,74223,0,0,58036,54444,30256,71841,75203,44122
14,39027,Clinton,49997,50351,32969,0,0,0,0,65764,0,30423,54600,61768,34529
15,39029,Columbiana,45498,45803,22583,24125,74750,0,41083,70938,42333,27416,52315,54574,34188
16,39031,Coshocton,43251,43398,0,0,48500,0,0,38750,73015,32375,47377,52336,32225
17,39033,Crawford,41726,41947,33250,0,0,0,0,20313,33409,26912,45474,53866,33348
18,39035,Cuyahoga,46720,57787,28360,41667,65918,33500,31501,36773,35980,22395,51532,56864,35664
19,39037,Darke,50064,50335,31061,0,53650,0,35761,48889,34477,41932,56957,57754,35034
20,39039,Defiance,55295,55971,29103,0,0,0,62045,36801,49561,34744,60810,66753,39368
21,39041,Delaware,100229,99398,85208,0,131236,142500,120568,72708,63947,37170,112555,118274,57770
22,39043,Erie,51033,54383,28848,33459,0,0,31184,47596,40313,25441,52420,65790,40717
23,39045,Fairfield,63424,63673,71971,0,73352,0,45851,27833,48966,33128,71117,78380,42911
24,39047,Fayette,44289,44635,57526,0,0,0,0,31759,32461,27784,52348,48506,35595
25,39049,Franklin,56319,64289,35484,47639,65471,24563,38246,43869,41144,27150,60649,66002,43049
26,39051,Fulton,57774,58478,0,51833,71964,0,42250,32846,45795,28448,64598,71405,40462
27,39053,Gallia,42002,42590,0,50833,36136,0,0,0,0,28494,48731,51898,31082
28,39055,Geauga,77104,77519,57019,0,120200,0,0,0,60260,45170,82794,99582,51043
29,39057,Greene,65032,67060,40852,0,84702,0,0,42375,66107,24053,67389,87595,49400
30,39059,Guernsey,42744,44056,12471,35144,0,0,0,22000,0,24662,47474,51855,33929
31,39061,Hamilton,52389,64270,28697,31964,66217,0,41369,39786,52119,22986,57017,63696,39827
32,39063,Hancock,52831,53389,63194,0,57813,0,35320,37150,35620,32459,58833,64877,37759
33,39065,Hardin,46404,45925,53417,0,63784,0,0,49757,41875,30691,58202,54314,35743
34,39067,Harrison,46223,46366,36250,73942,0,0,0,0,111023,0,60530,53107,33480
35,39069,Henry,58070,59081,31397,0,0,0,0,51397,45972,34853,63879,71801,39069
36,39071,Highland,42333,42701,22829,23403,0,0,0,0,0,26360,47881,50420,30755
37,39073,Hocking,48073,47903,0,0,0,0,0,59764,0,30036,57161,57148,34397
38,39075,Holmes,58728,58939,0,0,0,0,0,36053,28264,36598,58880,77562,38578
39,39077,Huron,49710,49664,30795,54375,0,0,60667,57500,40568,28764,56997,58405,36225
40,39079,Jackson,43397,44165,0,0,0,0,0,32896,0,33470,48186,47016,32776
41,39081,Jefferson,43161,44849,20954,0,37093,0,0,43824,20238,17708,49084,53199,35199
42,39083,Knox,51211,51203,51369,0,0,0,0,85378,46184,40154,55517,61115,37429
43,39085,Lake,61137,62080,37162,80069,87500,0,49753,50652,51134,40400,67009,75521,40411
44,39087,Lawrence,45466,46310,31910,0,0,0,0,25545,65771,37258,49981,56995,31959
45,39089,Licking,59747,59498,76545,46037,64671,0,130433,40083,41972,27358,64245,74890,41817
46,39091,Logan,53051,53595,33398,0,45556,0,0,46000,0,33500,60255,67408,36553
47,39093,Lorain,54987,58012,29833,27065,87656,0,40924,40413,35932,27548,61797,68614,41308
48,39095,Lucas,44820,52193,24650,26603,50568,0,36619,30258,36672,19641,47823,56342,36511
49,39097,Madison,62897,62923,35938,25357,103897,0,0,64256,0,40603,64353,74198,50296
50,39099,Mahoning,43251,47242,24361,33088,62473,0,29107,29713,30934,23125,45798,55282,33518
51,39101,Marion,44708,45656,27112,0,0,0,21548,28056,33862,22940,50493,53192,35994
52,39103,Medina,71595,72007,53036,59063,88500,0,39821,49973,68750,41173,79840,86345,46159
53,39105,Meigs,42105,42027,47989,0,0,0,0,0,0,31164,46726,47904,32244
54,39107,Mercer,57052,57591,0,0,16992,0,41167,30536,59241,36641,66141,69206,34988
55,39109,Miami,54568,54815,39063,70750,80139,0,74844,35000,33015,32407,60642,68306,39533
56,39111,Monroe,43299,43329,0,0,0,0,0,0,18958,0,55694,48140,35625
57,39113,Montgomery,47045,53303,30032,26731,73163,0,42772,35297,37516,26344,49336,55637,39560
58,39115,Morgan,40276,40564,39375,0,100417,0,0,32829,0,20250,44231,46084,32481
59,39117,Morrow,52767,53422,0,0,0,0,0,51042,91117,29714,70646,61543,40419
60,39119,Muskingum,43325,44497,40239,0,17083,0,0,21750,0,27333,52471,51855,31586
61,39121,Noble,42171,42193,0,0,0,0,0,0,0,32500,49261,56017,33302
62,39123,Ottawa,56193,56344,0,0,0,0,34079,0,50114,37337,60965,71312,43813
63,39125,Paulding,49866,50083,39583,0,0,0,48542,75750,50833,34559,63080,57466,34246
64,39127,Perry,46477,47193,0,0,0,0,0,11847,93347,23667,52522,53982,33183
65,39129,Pickaway,60314,60458,60139,174861,0,0,41763,50893,41518,46171,69340,71615,38661
66,39131,Pike,43562,43862,83009,38214,0,0,0,40398,0,17083,52218,53191,31282
67,39133,Portage,53816,55170,35622,40121,30365,0,53769,35026,41793,20061,60408,68497,42785
68,39135,Preble,52661,52426,57833,0,105380,0,0,70772,64000,23214,64214,60814,38339
69,39137,Putnam,61161,62174,0,0,0,0,43054,50739,42500,44125,74086,72700,36701
70,39139,Richland,44138,45623,29913,21042,96120,0,0,32946,26458,29970,49902,54671,34449
71,39141,Ross,45792,46248,46486,0,0,0,0,31291,59135,27905,47450,56834,34117
72,39143,Sandusky,50370,51373,26438,21484,0,0,39647,60909,45703,30478,55869,62370,37181
73,39145,Scioto,38978,39405,26500,22308,75521,0,0,0,81083,18693,44020,46155,31706
74,39147,Seneca,49153,50491,19125,0,13618,0,27941,45341,36952,22375,57606,61748,35530
75,39149,Shelby,57673,58261,31211,48508,50486,0,0,64500,38203,39017,61935,72788,39303
76,39151,Stark,50117,52579,28028,40486,82000,0,44700,31662,50246,27370,54660,61636,38220
77,39153,Summit,53291,58235,29759,35365,61705,45568,43188,36056,51058,25987,59468,65641,39431
78,39155,Trumbull,45380,47270,26072,0,48784,0,73021,40426,33611,22197,49269,52738,38069
79,39157,Tuscarawas,49460,50004,21294,42609,0,0,0,0,44250,30202,62312,57705,33325
80,39159,Union,78848,78551,0,52464,122820,0,18454,0,141333,44398,86315,95431,43052
81,39161,Van Wert,50974,51232,42935,0,0,0,0,38824,44896,41964,56627,57435,39742
82,39163,Vinton,41541,42064,0,0,0,0,0,24808,0,26016,47566,48158,33705
83,39165,Warren,79397,78707,69426,12083,129840,0,36136,58906,70940,39101,91518,99214,46086
84,39167,Washington,46021,46701,33611,40656,78777,0,0,24583,0,24000,49199,58386,35904
85,39169,Wayne,54037,53993,38500,0,91220,0,0,49375,39559,30136,56481,66609,39177
86,39171,Williams,47593,47575,0,58438,96250,0,51250,23214,51346,32201,49094,57550,36110
87,39173,Wood,58033,58322,37976,20809,88459,0,62000,45365,46389,19239,68750,75343,44182
88,39175,Wyandot,49767,49910,0,0,40625,0,53320,0,37264,34231,63551,56708,32039